,no,title,publication date,subject,journal,DOI,author,abstract,from_database,tfidf_score
5827,8177,Secure Attachment style and High IQ: Is attachment a protective factor,2011,,… Journal of Gifted Education,,"M Wellisch, J Brown, A Taylor, R Knight, L Berresford…","… Santrock intelligence (IQ = 130 and more) and or theory proposed by Renzulli (Sugiarti &
categorized as a gifted student, such as: commitment or attachment to the task and intelligence,
according to Wechsler 129 are middle gifted, 130-144 are mode according to Vialle …",google_scholar,0.24971049426441028
5577,7794,A Gift to Address the Double-Edged Sword of Giftedness: Pilot Evaluation of the DREAM Program for Gifted Elementary School-Age Children,2018,,,https://ruor.uottawa.ca/handle/10393/37631,S Desson,"… Therefore, a program grounded in a REAL approach may serve to enhance longer-term
meaningful engagement, healthy thinking, secure attachment, and responsible choice for gifted
children. Prevention of Mental Health Concerns Through Building Meaning …",google_scholar,0.24959929822506738
5441,7613,Perfectionism in mathematically gifted and typical Czech students,2001,,… the Education of the Gifted,10.1177/016235320102500203,"WD Parker, S Portesová…","… Rice, KG, & Mirzadeh, SA (2000). Perfectionism, attachment, and adjustment. Journal of
Counseling Psychology, 47, 238-250. Schüler, PA (1997). Characteristics and perceptions
of perfection- ism in gifted adolescents in a rural school environment …",google_scholar,0.24948531341178098
5885,8257,No child left behind and the impact of Kurt Heller's work,2014,,Journal for the Education of Gifted Young Scientists,https://dergipark.org.tr/en/pub/jegys/issue/37410/432787,FJ MÖNKS,"… Early Intervention in Adoptive Families: Supporting Maternal Sensitive –Responsiveness, Infant-
Mother Attachment, and Infant Competence. The Journal of Child Psychology and Psychiatry,
38, 1039-1050. Luning Prak, J. (1936). Het begaafde kind (The Gifted Child) …",google_scholar,0.24906638362071282
5777,8098,Multicase Historic Studies of Innovative Work Behavior Among Intellectually Gifted Adults,2019,,,https://scholarworks.waldenu.edu/dissertations/7294/,KD Gaskins,"… 2019 Multicase Historic Studies of Innovative Work Behavior Among Intellectually Gifted Adults
Karen Denise Gaskins Walden University … 2019 Page 3. Abstract Multicase Historic Studies of
Innovative Behavior amongst Intellectually Gifted Adults by Karen D. Gaskins …",google_scholar,0.24903058284184354
5936,8334,The effectiveness of a group counseling program in enhancing the ability to form friendship among academically talented students,2020,,… Education of Gifted …,https://dergipark.org.tr/en/pub/jegys/article/679131,"SM BANAT, HM AL-TAJ, NH ALSHOUBAKİ…","Page 1. Journal for the Education of Gifted Young Scientists, 8(2), 701-710, June 2020 e-ISSN:
2149- 360X jegys.org youngwisepub.com © 2020 … Journal for the Education of Gifted Young
Scientists, 8(2), 701-710. DOI: http://dx.doi.org/10.17478/jegys.679131 Introduction …",google_scholar,0.2486817054266637
5867,8233,The role of the family,2000,,… and emotional needs of gifted and talented children,https://books.google.com/books?hl=en&lr=&id=e5llAgAAQBAJ&oi=fnd&pg=PA50&dq=gifted+attachment&ots=6VeZ_gWdMs&sig=ioR-4FdcqHXRFDZr4AJK2yjCcm0,S Gomme,"… A lengthy discussion of this primely formative relationship can be found in john Bowlby's seminal
work Attachment and Loss (Bowlby 1997/8). Gifted children are no exception, but are often
endowed, from a very early age, with a greater awareness of the emotional function of …",google_scholar,0.24846268264800958
5816,8160,Treating ADHD as attachment deficit hyperactivity disorder,2001,,Handbook of attachment interventions,https://www.sciencedirect.com/science/article/pii/B9780124458604500034,"RD Ladnier, AE Massanari","… Handbook of Attachment Interventions Copyright .9 2000 by Academic Press … She was oppositional
and defiant at home and quite hyperactive in the therapy room with her mother, but she behaved
fairly well at school where she had been placed in a program for ""gifted"" children …",google_scholar,0.2483468225170794
5783,8104,Attachment-focused EMDR: Healing relational trauma,2013,,,https://books.google.com/books?hl=en&lr=&id=Pc3IZSD2OBIC&oi=fnd&pg=PR9&dq=gifted+attachment&ots=G1tB0MBL5z&sig=Nj-QsYTlQQQnwH16nCHnW_B3FFI,L Parnell,"… this integrative framework are adapted to fur- ther catalyze integration for this special population
of individuals who have experienced non-secure attachment and developmental … Her book, Drama
of the Gifted Child (1981), was revolutionary for many of us in my doctoral program …",google_scholar,0.2481513899981676
5694,7981,Succession on dumped substrates in the protected area Innenkippe Nochten-results of a monitoring project with gifted and talented pupils.,2014,,Berichte der Naturforschenden Gesellschaft …,https://www.cabdirect.org/cabdirect/abstract/20153066952,"C Brozio, R Goldberg","One aim of the Oberlausitz Natural History Society, in cooperation with partners, is to interest
young people in natural history. We show how long-term projects can stimulate school children
to make observations of nature and how the results may be used for landscape design. We …",google_scholar,0.24791286560026715
5806,8143,Perfectionism and anxiety: a paradox in intellectual giftedness?,2012,,PloS one,10.1371/journal.pone.0041043,"JH Guignard, AY Jacquet, TI Lubart","… Mann MP (2004) The adverse influence of narcissistic injury and perfectionism on college students'
institutional attachment … Sondergeld TA, Schultz RA, Glover LK (2007) The need for research
replication: An example from studies on perfectionism and gifted early adolescents …",google_scholar,0.24789547633306647
5809,8149,"Observations and suggestions regarding giftedness, familial influence and the achievement of eminence",1978,,Gifted Child Quarterly,10.1177/001698627802200214,RS Albert,"… l Two main questions center on the possible careers for such gifted youth, although the same
questions may be asked of any gifted youth … I wish to raise and discuss six other points. 1. Perhaps
the most urgent question regarding any gifted youth is: Will they produce …",google_scholar,0.24730647113529078
5698,7987,PROFILE OF GIFTED LEARNERS WITH EMOTIONAL PROBLEM AND THE DESIGNED EDUCATIONAL SERVICE PROGRAM,,,,https://www.academia.edu/download/45466044/IC_Gate_2014.pdf#page=8,"R Akhlan, E Heryati, E Ratnengsih","… Neihart, Reis, Robinson dan Moon (2002), gifted and talented students show the initiative attitude,
flexibility in thinking, ability to solve problem … Nooshin Pishva dan Mohamaad Ali Besharat (2011),
had done the study on the relationship between the attachment with the negative …",google_scholar,0.24667424753797068
5517,7714,Role of Rubrics and Gifted Students,2019,,Gifted Child Today,10.1177/1076217519862316,SN Kaplan,"… Download article citation data for: Role of Rubrics and Gifted Students. Sandra N. Kaplan, EdD.
Gifted Child Today 2019 42:4, 249-250. Download Citation … Role of Rubrics and Gifted Students.
Sandra N. Kaplan, EdD. Gifted Child Today 2019 42:4, 249-250. Share. Share …",google_scholar,0.24637200792218203
5927,8321,Working in retirement: The antecedents of bridge employment and its consequences for quality of life in retirement,2000,,Academy of management Journal,10.5465/1556345,"S Kim, DC Feldman","… 148 Assessing for Language ..... 149 Vignette #2 Sam: Language Assessment in a Gifted
Child with Autism Spectrum … 278 Attachment Disorders …",google_scholar,0.24631895845967758
5454,7628,Longitudinal change and maternal influence on occupational aspirations of gifted female American and German adolescents,2011,,… for the Education of the Gifted,10.1177/016235321003400103,"JN Fiebig, E Beauregard","… Erin D. Beauregard is a 2007 graduate of Emmanuel College, where she studied developmental
psychol- ogy and English literature. Journal for the Education of the Gifted. Vol. 34, No … Longitudinal
Change and Maternal Influence on Occupational Aspirations of Gifted Female …",google_scholar,0.24624174193002754
5711,8001,Creativity in gifted underachievers,1971,,,https://scholarworks.calstate.edu/downloads/4b29b708n,JD Martin,"Page 1. CREATIVITY IN GIFTED UNDERAC HIE VERS by James De Martin // A thesis … 3
DEFINITIONS 0 ..... 3 ORGANIZATION OF THE PAPER ..... b 2. THE CHARACTERISTICS OF
CREATIVE INDIVIDUALS AND GIFTED UNDERAC HIE VERS; A COMPARISON . . 5 …",google_scholar,0.24599098709094622
5741,8045,"“Young, Gifted, Black and Matter!” Teaching and Performing Activism through a Black Lives Matter Aesthetic",2017,,Young,https://albeitjournal.com/young-gifted-black-and-matter-yunina-barbour-payne/,Y Barbour-Payne,"… I used the following words: young, gifted, black, matter, Lorraine Hansberry … Victor Turner's concept
of spontaneous communitas observes strong feelings of close attachment among groups of people
that extended beyond distinctions in class and other social barriers (1969) …",google_scholar,0.24574307550663715
5707,7996,A critical study of various methods used to identifyintellectually gifted Malay children,1993,,"Hull, UK: University of Hull",https://core.ac.uk/download/pdf/2731625.pdf,AM Bin Mohd Isa,"THE UNIVERSITY OF HULL A CRITICAL STUDY OF VARIOUS METHODS USED TO IDENTIFY
INTELLECTUALLY GIFTED MALAY CHILDREN … SUMMARY A CRITICAL STUDY OF VARIOUS
METHODS USED TO IDENTIFY INTELLECTUALLY GIFTED MALAY CHILDREN …",google_scholar,0.24568735472822992
5616,7855,Gifted children: Need you too,2018,,Rattler (Sydney),10.3316/INFORMIT.725169365967687,M Wellisch,"… at local and international conferences, and has been President, Vice President and Treasurer
of the NSW Association for Gifted and Talented Children. She was awarded a PhD in Psychology
in 2015 in relation to her research on the association between attachment and IQ …",google_scholar,0.24558205484480303
5720,8014,Evaluating the influencing factors of educational decline in gifted and ordinary students and their suggested solutions,2013,,Middle East Journal of …,https://www.researchgate.net/profile/Saeed_Changizi_Ashtiyani2/publication/277775030_Frequency_of_educational_decline_and_some_effective_factors_of_student's_opinion_in_Arak_University_of_Medical_Sciences/links/58a3e389458515d15fdbc7f6/Frequency-of-educational-decline-and-some-effective-factors-of-students-opinion-in-Arak-University-of-Medical-Sciences.pdf,"SC Ashtiyani, M Shamsi, V Jalilian","… Solomon, SS, SC Tom, J. Pichert, D. Wasserman ofunderachievement among gifted
preadolescents: and AC Powers, 2003 … students towards their future career.Ninth Seminar of
communication and healthy parental attachment medical students of Isfahan University of Medical …",google_scholar,0.245470387544019
5651,7914,Effects of a social-emotional learning-based program on self-esteem and self-perception of gifted kindergarten students: A pilot study,,,,https://dergipark.org.tr/en/pub/jegys/issue/55332/779438,D Papadopoulos,"Page 1. Journal for the Education of Gifted Young Scientists, 8(3), 1275-1290, Sept 2020 e-ISSN:
2149- 360X jegys.org … Research Article Effects of a social-emotional learning-based program
on self-esteem and self- perception of gifted kindergarten students: A pilot study …",google_scholar,0.2451525252182364
5489,7674,The impact of a college counseling program on economically disadvantaged gifted students and their subsequent college adjustment,1996,,Roeper Review,10.1080/02783199609553735,"P Olszewski‐Kubilius, L Laubscher","… Difficulties of Economically Disadvantaged Minority Gifted During College … the Personal-Emotional
Adjustment subscale which reflects the extent to which the individual experiences any
psychological and physical distress while at college, and the Attachment subscale which …",google_scholar,0.2451227389439183
5565,7777,"Tiger's Child: The Story of a Gifted, Troubled Child and the Teac",1995,,,https://books.google.com/books?hl=en&lr=&id=QU7vvllqX-EC&oi=fnd&pg=PT6&dq=gifted+attachment&ots=_sfZkmfQtP&sig=OgUFVUsuO-KLpg88s_qSS2lJ7Rk,T Hayden,"… Indeed, she was more like nuclear. Discovering Sheila was a highly gifted child
intellectually did nothing to change the facts of her grinding poverty, her abusive
background or her continuing and continually outrageous behavior …",google_scholar,0.24508637134640301
5734,8034,The Gifted Practitioner,2016,,Treating Child Sexual …,10.1057/978-1-137-37769-2_1,"AD Jones, ET Jemmott, H Da Breao…","… The gifted practitioner is acutely aware that emotions are being managed in the moment by both
parties; each person has … psychotherapeutic intervention for teenage girls, and the final intervention
explores the role of social work in enhancing attachment behaviours between …",google_scholar,0.24493136586260184
5790,8114,"Young, gifted and underachieving: examining the role of mentoring in assisting underachieving highly-able students achieve their educational potential.",2012,,,http://doras.dcu.ie/16769/,P Laurenson,"Page 1. i Young, Gifted and Underachieving: Examining the role of mentoring in assisting
underachieving highly-able students achieve their educational potential Pauline Laurenson …
3 1.4 The Historical Context of Gifted and Talented Education 8 …",google_scholar,0.24445779408597604
5934,8332,The role of language in the development of emotion regulation.,2010,,,https://psycnet.apa.org/record/2009-08923-004,"PM Cole, LM Armstrong, CK Pemberton","… Children with oppositional defiant disorder who are also verbally gifted are skillful in their
argumentativeness and verbal defiance … Ainsworth, MDS (1992). A consideration of social
referencing in the context of attachment theory and research …",google_scholar,0.2440397427127103
5582,7801,"The relationship of self-evaluation, writing ability, and attitudes toward writing among gifted Grade 7 language arts students",2008,,,https://scholarworks.waldenu.edu/dissertations/644/,L DeMent,"… The relationship of self -evaluation, writing ability, and attitudes toward writing among gifted Grade
7 language arts students … Page 5. ABSTRACT The Relationship of Self-Evaluation, Writing Ability,
and Attitudes Toward Writing Among Gifted Grade 7 Language Arts Students by …",google_scholar,0.24381090301821237
5502,7692,An Investigation of the Relationship Between the Abilities of Troubled Youth and the Degree to Which These Abilities Could Be Termed Gifted and Talented.,1980,,,https://eric.ed.gov/?id=ED196245,"M Garamella, H Lang","… with the gifted. This could help pre 'ient future troubled youth who possess gifts and talents
which otherwise may become misdirected. Page 19. A Philosophical Sta Attachment
A errant About Gifted and Talented Education by Helene Lang …",google_scholar,0.2437153337389639
5407,7560,Psychological issues unique to the gifted student.,2018,,,https://psycnet.apa.org/record/2017-32525-032,"M Neihart, LS Yeo","… Gosnell and Gable (2013) described how attachment security influences perceptions of support,
which then shape a variety of outcomes. This framework suggests we should be knowl- edgeable
about known risk factors for gifted chil- dren and to work to reduce them, while …",google_scholar,0.24363787865829248
5994,8417,But what about the prom? Students' perceptions of early college entrance,1992,,Gifted Child Quarterly,10.1177/001698629203600209,"KD Noble, JE Drummond","… psychologica(, and social climate for some gifted students than high school … of measures (eg,
the Minnesota Multiphasic Personality Inventory, the California Psychological Inventory, the
Tennessee Self-Con- cept Scale, and the Inventory of Parent and Peer Attachment) and to …",google_scholar,0.24341709218911445
5844,8200,"Assessment, development, and treatment of childhood perfectionism: A systematic review",2014,,Child and Adolescent Mental Health,10.1111/camh.12067,"L Morris, C Lomax","… For example, those with emo- tional overexcitabilities have a strong attachment to people and
animals and experience those intense levels of senti- mentality and empathy (Silverman, 1993).
Oftentimes, gifted males feel lost in their ability to express these heightened emotions …",google_scholar,0.2430242574135762
5433,7601,Gifted students' implicit beliefs about intelligence and giftedness,2015,,Gifted Child …,10.1177/0016986215599057,"MC Makel, KE Snyder, C Thomas…","… Gifted Students' Implicit Beliefs About Intelligence and Giftedness. Matthew C. Makel, Kate E.
Snyder, Chandler Thomas, Patrick S. Malone, and Martha Putallaz. Gifted Child Quarterly 2015
59:4, 203-212. Download Citation … Gifted Child Quarterly 2015 59:4, 203-212. Share. Share …",google_scholar,0.2428732720391961
5507,7702,Making great kids greater: Easing the burden of being gifted,2008,,,https://books.google.com/books?hl=en&lr=&id=AcZBV9tKtioC&oi=fnd&pg=PR1&dq=gifted+attachment&ots=lH8TwjISua&sig=aRxf7QELF7EyH9gmZNO_v-fXWxU,DA Sisk,"… They usually love to read, and are keen on detailed plan- ning. In that same first-year classroom
was another gifted student who was fascinated and knowledgeable about dinosaurs … This
attachment to an environment may make it difficult for these OEs to adjust to new places …",google_scholar,0.24240039426891444
5836,8190,Grupul creativ–o cale de depistare a copiilor supradotaţi Creativity group–a way to identify gifted children,2016,,Revista de Neurologie şi Psihiatrie a Copilului şi …,http://snpcar.ro/wp-content/uploads/2018/08/pdf21.pdf,TC Anghel,"… Creativity group – a way to identify gifted children • Teodora C. Anghel … reveals an authoritative
mother that appears to be the source of partial rejection; • the projection and the identification
with the same animal „dog” both her and her father support the attachment to father Tree …",google_scholar,0.24238014354249784
5733,8033,A case study of a three-year pilot program on one district's attempt to increase the gifted identification of diverse elementary school students by having a talent …,2009,,,http://scholarscompass.vcu.edu/cgi/viewcontent.cgi?article=3009&context=etd,R Franklin,"… DISTRICT'S ATTEMPT TO INCREASE THE GIFTED IDENTIFICATION OF DIVERSE
ELEMENTARY SCHOOL STUDENTS … Gifted Theories and Talent Development…………
…16 Attitudes/Definitions of Giftedness……………17 …",google_scholar,0.241884657463533
5654,7918,Building Talented Outputs Out of Gifted Inputs,2017,,Callahan & Hertberg-Davis. Fundamentals of Gifted …,https://books.google.com/books?hl=en&lr=&id=n0IwDwAAQBAJ&oi=fnd&pg=PT133&dq=gifted+attachment&ots=EL6yJvjCBU&sig=DG9Keskz733kMSt_3CRxPhgjuls,F Gagné,"… However, because of its popularity among DMGT “fans”—as well as my personal attachment
to it—it has received a special spot … an absolute answer to the “how many” question; nowhere
will we find a magical number that automatically separates those labeled gifted or talented …",google_scholar,0.24185819583832147
5620,7863,Beyond analysis by gender: Overexcitability dimensions of sexually diverse populations and implications for gifted education,2008,,,https://search.proquest.com/openview/dac35613b9110cdf8ab6c963847f1e56/1?pq-origsite=gscholar&cbl=18750&diss=y,AR Treat,"… SEXUALLY DIVERSE POPULATIONS AND IMPLICATIONS FOR GIFTED EDUCATION …
ACKNOWLEDGEMENT The successful completion of this dissertation would not be a reality
without the support from my mentors, the National Association for Gifted Children (NAGC) GLBT …",google_scholar,0.24174386452014618
5730,8028,How the Science Gifted Connect and Integrate Science Concepts in the Process of Problem Finding,2018,,Journal of Science Education,https://www.koreascience.or.kr/article/JAKO201828458594983.page,"M Park, H Seo","… 부산대학교 How the Science Gifted Connect and Integrate Science Concepts in the Process of
Problem Finding … Pusan National University Abstract : The study aimed to investigate how the
science gifted connect and integrate science concepts in the process of problem finding …",google_scholar,0.24166924269036347
5944,8344,Correlates of orgasm adequacy in a group of 556 wives,1951,,The Journal of Psychology,10.1080/00223980.1951.9916088,LM Terman,"… Implications of these findings for education scholarship, gifted education, and the achievement
gap are discussed … Teachers' perceptions may also influence more desirable placements, such
as upper ability groups and gifted education programs (Ford et al., 2002) …",google_scholar,0.24135883942837041
5838,8192,Ocean Awareness Student Art Contest 2016,2016,,Gifted Child Today,https://search.proquest.com/openview/ce48e35339279a46c389b072da4b4219/1?pq-origsite=gscholar&cbl=46372,YC Challenge,"… 2 GIFTED CHILD TODAY three teachers will receive recognition awards of US$750 each … Students
should email their essay as an attachment in PDF or Word format, including their full name, school
they are attending, and contact information to scholarship@scottYancey. com …",google_scholar,0.24119040563316052
5758,8070,Teachers' knowledge of the characteristics of gifted and talented students in visual arts,2012,,,https://ttu-ir.tdl.org/handle/2346/73897,AA Alghamdi,"… The first group had reported WISC IQ score of 140 or more, and the second group was non-gifted
demonstrating … drawing skills (use of perspective, foreshortening, etc.), elaboration and inclusion
of many details, and attachment of complex meaning to drawings” …",google_scholar,0.24099199831184603
5830,8181,Neurofeedback: A treatment for reactive attachment disorder,2002,,EEG Spectrum,https://www.centerforbrain.com/conditions/attachment-disorder/article-neurofeedback-a-treatment-for-reactive-attachment-disorder/,SF Fisher,"… Gifted Education International, Contents. Article Menu. Download PDF  … Book review: Trauma,
Abandonment and Privilege: A Guide to Therapeutic Work With Boarding School Survivors. John
Senior. Gifted Education International 2019 35:2, 171-173. Download Citation …",google_scholar,0.24048919055510665
5478,7662,Teachers-in-training perceptions of gifted Children's characteristics and teacher-child interactions: An experimental study,2021,,Teaching and Teacher Education,https://www.sciencedirect.com/science/article/pii/S0742051X20314062,"T Weyns, F Preckel, K Verschueren","… Research paper. Teachers-in-training perceptions of gifted Children's characteristics and
teacher-child interactions: An experimental study … Highlights. • We examined preservice teachers'
perceptions of children that were labeled as gifted or average in a vignette. • …",google_scholar,0.24032224745289393
5661,7928,The influence of perfectionism on mental health in gifted and twice-exceptional students,2017,,,https://ir.uiowa.edu/etd/5916/,MM Candler,"… Fall 2017 The influence of perfectionism on mental health in gifted and … Recommended Citation
Candler, Margaret Mary. ""The influence of perfectionism on mental health in gifted and
twice-exceptional students."" PhD (Doctor of Philosophy) thesis, University of Iowa, 2017 …",google_scholar,0.23956463361014807
5410,7564,Bullying among the gifted: The subjective experience,2006,,Gifted Child Quarterly,10.1177/001698620605000305,"JS Peterson, KE Ray","… Bullying literature from outside of the field of gifted education provided additional sensitizing con-
cepts for the qualitative dimension of this … but Batsche and Knoff (1994) noted that family factors
(eg, violence, shaming, authoritarian parenting, and insecure attachment) had not …",google_scholar,0.2394953335618676
5967,8381,Shame in male spouse abusers and its treatment in group therapy,2003,,"Journal of Aggression, Maltreatment & …",10.1300/J146v07n01_04,"R Wallace, A Nosko","… They integrate affect and attachment theory in their ex- ploration of the theoretical
linkages between shame and anger … They also demonstrate that the social related-
ness group generates can help repair earlier attachment anxieties …",google_scholar,0.2393038994821185
5632,7879,The use of art as an educational tool in gifted education and rehabilitation.,2017,,Journal of Academic Social Science Studies,https://www.cabdirect.org/cabdirect/abstract/20173384356,S Daniș,"… by purposive method of the beginners who were selected for the National Project for the Gifted
in Damietta 10/2017. Initially, talented players were selected and directed to the sport of
weightlifting through a set of physical, skills, and standardized tests nationwide. (Attachment 1 …",google_scholar,0.2388540595532666
5729,8027,The gifted child and the need for planners and leaders,,,,http://wiredspace.wits.ac.za/bitstream/handle/10539/25052/File_05._Symposium_1961-The_gifted_child._pp._17-24[1].pdf?sequence=1,SM Naude,"… By paying the living costs of all gifted students, by spending large sums on build ings and the
equipment of wonderful labora tories and libraries and by offering to their children no … “This
inelasticity of our school system is the direct result of the sentimental attachment we hold for …",google_scholar,0.2387361484854218
5874,8243,"Daily goal progress is facilitated by spousal support and promotes psychological, physical, and relational well-being throughout adulthood.",2016,,Journal of Personality and Social …,https://psycnet.apa.org/record/2016-40699-001,"BK Jakubiak, BC Feeney","… Attachment theory posits that exploration—including the pursuit of autonomous
goals—promotes well-being across the life span and is facilitated by support from
close others … Individual Differences in Attachment Orientation …",google_scholar,0.23856004469892225
5659,7925,Helping the Gifted,1963,,The bulletin of the National Association of …,10.1177/019263656304728115,MJ Rupe,"… It is not necessarily an attachment to any present program … Any consideration of these ideas
must include complete knowledge of each student in a class as is possible. Whether we
accelerate or enrich, we must give spe- cial attention to our gifted.",google_scholar,0.23806179767875282
5716,8008,Affective curriculum to target perfectionism and associated outcomes in pre-adolescent gifted and typical students,2019,,,http://cardinalscholar.bsu.edu/handle/123456789/201778,MR Fillmore,"AFFECTIVE CURRICULUM TO TARGET PERFECTIONISM AND ASSOCIATED OUTCOMES
IN PRE-ADOLESCENT GIFTED AND TYPICAL STUDENTS … To my chair, Dr. Speirs Neumeister,
you fostered my passions for the social and emotional development of gifted children …",google_scholar,0.2377888252248952
5989,8409,Socio-emotional and cognitive resilience in children with reading disabilities,2016,,Current opinion in behavioral sciences,https://www.sciencedirect.com/science/article/pii/S2352154616301218,"SL Haft, CA Myers, F Hoeft","… naming compared to control groups, they showed strengths in working memory and language
skills compared to their non-gifted RD counterparts … Strong attachment to fathers is associated
with more sense of coherence, hope, and effort in children with RD, while attachment to …",google_scholar,0.23760496534647393
5424,7588,A profile of gifted individuals with autism: The twice‐exceptional learner,1999,,Roeper Review,10.1080/02783199909553993,AB Cash,"… flashing lights), poor social relatedness and eye contact, stereotyped body move- ments, erratic
language development, and a strong attachment to objects … by the WISC-R are inconsistent, falling
between 98 and 145, this range is considered to be between average and gifted …",google_scholar,0.2375503112023485
5904,8287,Perfectionism & underachievement,1989,,Gifted Child Today Magazine,10.1177/107621758901200108,M Adderholt-Elliott,"… The five main reasons for procrastination that they found in their research are (1) fear
of failure, (2) fear of success, (3) fear of control, (4) fear of separation, and (5) fear of
attachment … Alice is a teacher of academically gifted students …",google_scholar,0.2374017424769529
5718,8011,Exploring the Lives of Gifted Women,2017,,,https://digitalcommons.du.edu/cgi/viewcontent.cgi?article=1003&context=tls_doctoral,CA Winterbrook,"… Teaching and Learning Sciences 2017 Exploring the Lives of Gifted Women … Part of the Curriculum
and Instruction Commons, and the Gifted Education Commons Recommended Citation
Winterbrook, Christine Ann, ""Exploring the Lives of Gifted Women"" (2017) …",google_scholar,0.23711174546889377
5641,7896,Self-Concept of Gifted Students: The Reddening and Blackening Effects.,2005,,Online Submission,https://eric.ed.gov/?id=ED490058,"AS Yeung, APY Chow, PCW Chow, WP Liu","… may not bear the gifted label. The level 3 operation aims to provide the exceptionally gifted with
a variety of individualized educational arrangements such as mentorship, attachment or early
entry to university and Page 4. counseling outside the regular school …",google_scholar,0.2369542190116267
5685,7964,A Critical Analysis of the General Problems Associated with Gifted Children,,,,http://globalacademicstars.com/xxx/0fU7hOl8OvbgVYLzIzX9ULSHVGFXIukK4RMvRtDQ.pdf,GM HENRY,"… It can also be used by gifted students who want to create interactive software without going through
the usual stages of … be cuddled • Little or no eye contact • Unresponsive to normal teaching methods
• Sustained odd play, and spinning objects • Obsessive attachment to objects …",google_scholar,0.23651511701520497
5434,7602,Factors associated with gifted identification for ethnically diverse children in poverty,2020,,Gifted Child Quarterly,10.1177/0016986220937685,"C Ricciardi, A Haag-Wolf, A Winsler","… Factors Associated With Gifted Identification for Ethnically Diverse Children in Poverty. Courtney
Ricciardi, Allison Haag-Wolf, and Adam Winsler. Gifted Child Quarterly 0 10.1177/
0016986220937685. Download Citation … Gifted Child Quarterly 0 10.1177/0016986220937685 …",google_scholar,0.23634188726019748
5708,7997,Gifted young adolescents: Voices of self,2011,,,https://eprints.qut.edu.au/43399,LH Dillon,"Page 1. GIFTED YOUNG ADOLESCENTS: VOICES OF SELF Lisette Helen Dillon Dip.T.,
B.Ed., M.Ed. (Gifted Education) Submitted in fulfilment of the requirements for the degree of
Doctor of Philosophy Centre for Learning Innovation Faculty of Education …",google_scholar,0.23623240810939644
5877,8247,The most important attributes for talented students who want to be scientists,2020,,Gifted Education …,10.1177/0261429420947092,"J Szabó, HG Révész…","… Gifted Education International, Contents … The most important attributes for talented students who
want to be scientists. János Szabó, Habil György Révész, and David J Van-Dyke. Gifted Education
International 0 10.1177/0261429420947092. Download Citation …",google_scholar,0.2362315766872545
5788,8112,An evaluation of the effectiveness of the Primary Extension and Academic Challenge (PEAC) Online Programme for gifted and talented students in Western Australian …,2008,,,https://espace.curtin.edu.au/handle/20.500.11937/2070,JK Smith,"Science and Mathematics Education Centre An Evaluation of the Effectiveness of the Primary
Extension and Academic Challenge (PEAC) Online Programme for Gifted and … for many gifted
and talented students across Western Australia who are unable to travel to PEAC centres …",google_scholar,0.2356700499407974
5858,8221,"Book Review: Piechowski, M.(2006).“Mellow out,” they say. If I only could. Intensities and sensitivities of the young and bright. Madison, WI: Yunasa.(ISBN 0-9777530 …",2008,,Gifted Child Quarterly,10.1177/0016986207311053,JR Funk,"… The imagination and its connections to inner realities and external possibilities in the lives of
gifted children is the focus of the … of adolescents, Piechowski also shares examples of spiritual
develop- ment from his eminence studies such as Leta Hollingworth's attachment to the …",google_scholar,0.23545148739843338
5812,8153,The evolution and history of attachment research and theory,1995,,"Attachment theory: Social, developmental, and clinical …",https://books.google.com/books?hl=en&lr=&id=x-Oki9MxalQC&oi=fnd&pg=PA85&dq=gifted+attachment&ots=rawWLO64CU&sig=YRt7cZOV23sb8FA7G3buW2nfHQo,E Klaus,"… musical Page 114. EVOLUTION AND HISTORY OF ATTACHMENT RESEARCH 101
kidnapping. In … age. Moritz, the author, was himself a gifted learner, but he tried to escape
from the coercions Of formal schooling several times. He …",google_scholar,0.23508440076520679
5853,8213,Preparing for college—beyond the getting-in part,2000,,Gifted Child Today,10.4219/gct-2000-727,JS Peterson,"… Emotional development and emotional gifted- ness. In N. Colangelo & G. Davis (Eds.), Handbook
of gifted education (pp. 285–305) … Silver, AR (1995). College adjustment: Relationships to
attachment secu- rity, separation-individuation, and style of coping …",google_scholar,0.23453233143184424
5398,7541,Identity and Career Development in Gifted Students.,2006,,,https://psycnet.apa.org/record/2005-15512-002,"TP Hébert, KR Kelly","… Lessons in Gene Transfer to Plants by a Gifted Microbe … Mol Plant-Microbe Interact.
11:57–63PubMedCrossRefGoogle Scholar. Breyne P, Van Montagu M, Gheysen G (1994) The
role of scaffold attachment regions in the structural and functional organization of plant chromatin …",google_scholar,0.2338575097252398
5448,7622,"A critical self-study of gifted education: Healthy practice, necessary evil, or sedition?",1996,,Journal for the Education of the Gifted,10.1177/016235329601900203,CM Callahan,"… The ""gifted programs"" in most schools assume little respon- sibility for working with other educators
to ensure that the talents we have espoused as so … At times we have used a high IQ score to simply
justify the attachment of a label and the creation of groups where there is little …",google_scholar,0.23374285085837546
