title,publication date,subject,journal,DOI,author,abstract,from_database,topics
Early visual deprivation does not prevent the emergence of basic numerical abilities in blind children,2021-05-01,Linguistics and Language,,10.1016/j.cognition.2021.104586,"{'given': 'Virginie', 'family': 'Crollen', 'sequence': 'first', 'affiliation': []}",,crossref,9
Intergenerational Relationships between Married Children and Their Parents in 21st Century Japan,2021-04-22,,,10.1163/9789004447516,"{'given': 'Reiko', 'family': 'YAMATO', 'sequence': 'first', 'affiliation': []}",,crossref,9
Language choice among Chinese-Indonesian children in Palembang City,,Linguistics and Language,,10.1075/cld.19012.set,"{'ORCID': 'http://orcid.org/0000-0002-4691-6298', 'authenticated-orcid': True, 'given': 'Budi', 'family': 'Setiawan', 'sequence': 'first', 'affiliation': [{'name': 'Gadjah Mada University'}]}","<jats:title>Abstract</jats:title>
<jats:p>This study examines the language choices among four- to six-year old Chinese-Indonesian children in various social domains to identify patterns of choice and analyze sociocultural factors that significantly affect their language choices. The results show that Chinese-Indonesian children’s language choice is highly patterned based on the type of social domains and interlocutors. Their choices are influenced by three major factors: (1) language attitude including parental attitude and the attitude of the indigenous population; (2) language habit formed at home; (3) social domain and context of communication.</jats:p>",crossref,9
Answers to Selected Problems,2021-04-08,,,10.1017/9781108933445.012,,,crossref,1
Reproducibility of motor competence tests and percentiles for children and adolescents living at moderate altitude in Peru,2021-04-01,,,10.5546/aap.2021.eng.91,,,crossref,2
Excessive screen time is associated with emotional lability in preschool children,2021-04-01,,,10.5546/aap.2021.eng.106,,,crossref,2
"Association of abdominal subcutaneous fat thickness with hepatic steatosis, liver enzymes, and serum lipids in obese children",2021-04-01,,,10.5546/aap.2021.eng.114,,,crossref,2
Haematological Parameters in Children with Serum Folate Deficiency,2021-04-01,,,10.4274/meandros.galenos.2021.92259,"{'ORCID': 'http://orcid.org/0000-0002-9777-9596', 'authenticated-orcid': False, 'given': 'Hatice Tuba', 'family': 'Akbayram', 'sequence': 'first', 'affiliation': []}",,crossref,9
"Mobile applications aiming to facilitate immigrants’ societal integration and overall level of integration, health and mental health. Does artificial intelligence enhance outcomes?",2021-04-01,Human-Computer Interaction,,10.1016/j.chb.2020.106661,"{'given': 'Nick', 'family': 'Drydakis', 'sequence': 'first', 'affiliation': []}",,crossref,1
“It's not just sexy pics”: An investigation into sexting behaviour and behavioural problems in adolescents,2021-04-01,Human-Computer Interaction,,10.1016/j.chb.2020.106662,"{'given': 'Mairéad', 'family': 'Foody', 'sequence': 'first', 'affiliation': []}",,crossref,2
Using learning analytics to understand student perceptions of peer feedback,2021-04-01,Human-Computer Interaction,,10.1016/j.chb.2020.106658,"{'given': 'Kamila', 'family': 'Misiejuk', 'sequence': 'first', 'affiliation': []}",,crossref,1
Does the dispersion of online review ratings affect review helpfulness?,2021-04-01,Human-Computer Interaction,,10.1016/j.chb.2020.106670,"{'given': 'Soyeon', 'family': 'Lee', 'sequence': 'first', 'affiliation': []}",,crossref,9
Assessing program-level learning strategies in MOOCs,2021-04-01,Human-Computer Interaction,,10.1016/j.chb.2020.106674,"{'given': 'Abhinava', 'family': 'Barthakur', 'sequence': 'first', 'affiliation': []}",,crossref,1
Is sunlight enough for sufficient vitamin D status in children and adolescents? A survey in a sunny region of southern Italy,2021-04-01,Nutrition and Dietetics,,10.1016/j.nut.2020.111101,"{'given': 'Irene', 'family': 'Rutigliano', 'sequence': 'first', 'affiliation': []}",,crossref,2
Tree optimization based heuristics and metaheuristics in network construction problems,2021-04-01,Management Science and Operations Research,,10.1016/j.cor.2020.105190,"{'given': 'Igor', 'family': 'Averbakh', 'sequence': 'first', 'affiliation': []}",,crossref,1
Revisiting where are the hard knapsack problems? via Instance Space Analysis,2021-04-01,Management Science and Operations Research,,10.1016/j.cor.2020.105184,"{'given': 'Kate', 'family': 'Smith-Miles', 'sequence': 'first', 'affiliation': []}",,crossref,1
Branch & Memorize exact algorithms for sequencing problems: Efficient embedding of memorization into search trees,2021-04-01,Management Science and Operations Research,,10.1016/j.cor.2020.105171,"{'given': 'Lei', 'family': 'Shang', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Ibotenic acid induced lesions impair the modulation of dendritic spine plasticity in the prefrontal cortex and amygdala, a phenomenon that underlies working memory and social behavior",2021-04-01,Pharmacology,,10.1016/j.ejphar.2021.173883,"{'given': 'Néstor I.', 'family': 'Martínez-Torres', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Personal exposure to equivalent black carbon in children in Milan, Italy: Time-activity patterns and predictors by season",2021-04-01,Toxicology,,10.1016/j.envpol.2021.116530,"{'ORCID': 'http://orcid.org/0000-0002-3953-1197', 'authenticated-orcid': False, 'given': 'Luca', 'family': 'Boniardi', 'sequence': 'first', 'affiliation': []}",,crossref,9
A simplified PSS preconditioner for non-Hermitian generalized saddle point problems,2021-04-01,Applied Mathematics,,10.1016/j.amc.2020.125810,"{'given': 'Hai-Long', 'family': 'Shen', 'sequence': 'first', 'affiliation': []}",,crossref,1
A forward-backward dynamical approach for nonsmooth problems with block structure coupled by a smooth function,2021-04-01,Applied Mathematics,,10.1016/j.amc.2020.125822,"{'given': 'Radu Ioan', 'family': 'Boţ', 'sequence': 'first', 'affiliation': []}",,crossref,1
Consensus Problems of Linear Multi-agent Systems involving Conformable Derivative,2021-04-01,Applied Mathematics,,10.1016/j.amc.2020.125809,"{'given': 'Jian', 'family': 'Yang', 'sequence': 'first', 'affiliation': []}",,crossref,1
Honey formation optimization framework for design problems,2021-04-01,Applied Mathematics,,10.1016/j.amc.2020.125815,"{'given': 'Zeki', 'family': 'Yetgin', 'sequence': 'first', 'affiliation': []}",,crossref,1
Noise robust in-domain children speech enhancement for automatic Punjabi recognition system under mismatched conditions,2021-04-01,Acoustics and Ultrasonics,,10.1016/j.apacoust.2020.107810,"{'given': 'Puneet', 'family': 'Bawa', 'sequence': 'first', 'affiliation': []}",,crossref,9
Polycyclic aromatic hydrocarbons exposures and telomere length: A cross-sectional study on preschool children,2021-04-01,Biochemistry,,10.1016/j.envres.2021.110757,"{'given': 'Abolfazl', 'family': 'Adli', 'sequence': 'first', 'affiliation': []}",,crossref,9
Long-term exposure to ambient air pollution and obesity in school-aged children and adolescents in Jiangsu province of China,2021-04-01,Biochemistry,,10.1016/j.envres.2021.110804,"{'given': 'Hao', 'family': 'Zheng', 'sequence': 'first', 'affiliation': []}",,crossref,2
"Lead exposure and indices of height and weight in Uruguayan urban school children, considering co-exposure to cadmium and arsenic, sex, iron status and dairy intake",2021-04-01,Biochemistry,,10.1016/j.envres.2021.110799,"{'given': 'Carmen M.', 'family': 'Donangelo', 'sequence': 'first', 'affiliation': []}",,crossref,9
Prenatal exposure to per- and polyfluoroalkyl substances (PFAS) and neurobehavior in US children through 8 years of age: The HOME study,2021-04-01,Biochemistry,,10.1016/j.envres.2021.110825,"{'given': 'Ann M.', 'family': 'Vuong', 'sequence': 'first', 'affiliation': []}",,crossref,9
"Auditory environmental enrichment prevents anxiety-like behavior, but not cortisol responses, evoked by 24-h social isolation in zebrafish",2021-04-01,Behavioral Neuroscience,,10.1016/j.bbr.2021.113169,"{'given': 'Letícia', 'family': 'Marchetto', 'sequence': 'first', 'affiliation': []}",,crossref,1
Where are the children in national hepatitis C policies? A global review of national strategic plans and guidelines,2021-04-01,,,10.1016/j.jhepr.2021.100227,"{'given': 'Farihah', 'family': 'Malik', 'sequence': 'first', 'affiliation': []}",,crossref,9
Preparation of cement spacer in treatment of segmental bone defects in children by the induced membrane technique: A technical note,2021-04-01,Orthopedics and Sports Medicine,,10.1016/j.jcot.2020.12.005,"{'ORCID': 'http://orcid.org/0000-0001-5604-2881', 'authenticated-orcid': False, 'given': 'Deepika A.', 'family': 'Pinto', 'sequence': 'first', 'affiliation': []}",,crossref,9
Assessment of dyslexic children with EOG signals: Determining retrieving words/re-reading and skipping lines using convolutional neural networks,2021-04-01,General Mathematics,,10.1016/j.chaos.2021.110721,"{'given': 'Fatma', 'family': 'Latifoğlu', 'sequence': 'first', 'affiliation': []}",,crossref,2
Interpersonal polyvictimization: Addressing the care planning needs of traumatized children and youth,2021-04-01,"Pediatrics, Perinatology, and Child Health",,10.1016/j.chiabu.2021.104956,"{'given': 'Shannon L.', 'family': 'Stewart', 'sequence': 'first', 'affiliation': []}",,crossref,9
Short-term outcomes in pediatric and adolescent patients with psychogenic nonepileptic events seen by telemedicine during the COVID-19 pandemic,2021-04-01,Behavioral Neuroscience,,10.1016/j.yebeh.2020.107739,"{'ORCID': 'http://orcid.org/0000-0003-0824-2429', 'authenticated-orcid': False, 'given': 'Megan', 'family': 'Fredwall', 'sequence': 'first', 'affiliation': []}",,crossref,2
Melatonin dispensing among New Zealand children aged 0–18 years with autism: a nationwide cross-sectional study,2021-04-01,General Medicine,,10.1016/j.sleep.2021.01.028,"{'given': 'L.K.', 'family': 'McLay', 'sequence': 'first', 'affiliation': []}",,crossref,9
Insomnia as a predictor of diagnosed memory problems: 2006–2016 Health and Retirement Study,2021-04-01,General Medicine,,10.1016/j.sleep.2021.01.038,"{'given': 'Hind A.', 'family': 'Beydoun', 'sequence': 'first', 'affiliation': []}",,crossref,1
Attachment security and striatal functional connectivity in typically developing children,2021-04-01,Cognitive Neuroscience,,10.1016/j.dcn.2021.100914,"{'given': 'Eun Jung', 'family': 'Choi', 'sequence': 'first', 'affiliation': []}",,crossref,2
Neuroimaging of valence decisions in children and adults,2021-04-01,Cognitive Neuroscience,,10.1016/j.dcn.2021.100925,"{'ORCID': 'http://orcid.org/0000-0003-4216-4487', 'authenticated-orcid': False, 'given': 'Teresa', 'family': 'Sylvester', 'sequence': 'first', 'affiliation': []}",,crossref,9
The multivariate physical activity signature associated with body mass index in young children,2021-04-01,"Public Health, Environmental and Occupational Health",,10.1016/j.ypmed.2021.106437,"{'given': 'Eivind', 'family': 'Aadland', 'sequence': 'first', 'affiliation': []}",,crossref,2
Restless sleep in children: A systematic review,2021-04-01,Physiology (medical),,10.1016/j.smrv.2020.101406,"{'ORCID': 'http://orcid.org/0000-0003-3349-8426', 'authenticated-orcid': False, 'given': 'Lourdes M.', 'family': 'DelRosso', 'sequence': 'first', 'affiliation': []}",,crossref,9
Novelty preferences and cocaine-associated cues influence regions associated with the salience network in juvenile female rats,2021-04-01,Toxicology,,10.1016/j.pbb.2021.173117,"{'given': 'Michael L.', 'family': 'Rohan', 'sequence': 'first', 'affiliation': []}",,crossref,2
The longitudinal relationship between sleep problems and school burnout in adolescents: A cross-lagged panel analysis,2021-04-01,"Pediatrics, Perinatology, and Child Health",,10.1016/j.adolescence.2021.02.001,"{'given': 'Xiaoting', 'family': 'Liu', 'sequence': 'first', 'affiliation': []}",,crossref,1
Cognitive function in association with high estradiol levels resulting from fertility treatment,2021-04-01,Behavioral Neuroscience,,10.1016/j.yhbeh.2021.104951,"{'given': 'Brigitte', 'family': 'Leeners', 'sequence': 'first', 'affiliation': []}",,crossref,2
A novel combined space-time algorithm for transient heat conduction problems with heat sources in complex geometry,2021-04-01,Mechanical Engineering,,10.1016/j.compstruc.2021.106495,"{'given': 'Lin', 'family': 'Qiu', 'sequence': 'first', 'affiliation': []}",,crossref,1
Associations of maternal and paternal mental health problems with offspring anxiety at age 20 years: Findings from a population-based prospective cohort study,2021-04-01,Biological Psychiatry,,10.1016/j.psychres.2021.113781,"{'given': 'Getinet', 'family': 'Ayano', 'sequence': 'first', 'affiliation': []}",,crossref,2
The association between adverse childhood experiences and young adult outcomes: A scoping study,2021-04-01,Sociology and Political Science,,10.1016/j.childyouth.2020.105916,"{'given': 'Eonju', 'family': 'Park', 'sequence': 'first', 'affiliation': []}",,crossref,2
"The relationship between exposure to risky online content, cyber victimization, perception of cyberbullying, and cyberbullying offending in Korean adolescents",2021-04-01,Sociology and Political Science,,10.1016/j.childyouth.2021.105946,"{'given': 'Sung-Man', 'family': 'Bae', 'sequence': 'first', 'affiliation': []}",,crossref,2
Divide-and-conquer large scale capacitated arc routing problems with route cutting off decomposition,2021-04-01,Control and Systems Engineering,,10.1016/j.ins.2020.11.011,"{'given': 'Yuzhou', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}",,crossref,1
Total arsenic in complementary food and its exposure assessment for children aged 6–24 months,2021-04-01,Biotechnology,,10.1016/j.foodcont.2020.107786,"{'family': 'Suyanto', 'sequence': 'first', 'affiliation': []}",,crossref,2
Weighted gene co-expression network analysis and drug-gene interaction bioinformatics uncover key genes associated with various presentations of malaria infection in African children and major drug candidates,2021-04-01,Microbiology (medical),,10.1016/j.meegid.2021.104723,"{'given': 'Komi', 'family': 'Nambou', 'sequence': 'first', 'affiliation': []}",,crossref,2
Singular initial value problems for scalar quasi-linear ordinary differential equations,2021-04-01,Analysis,,10.1016/j.jde.2021.02.010,"{'given': 'Werner M.', 'family': 'Seiler', 'sequence': 'first', 'affiliation': []}",,crossref,1
Deep learning-based solvability of underdetermined inverse problems in medical imaging,2021-04-01,Radiological and Ultrasound Technology,,10.1016/j.media.2021.101967,"{'ORCID': 'http://orcid.org/0000-0002-7072-7489', 'authenticated-orcid': False, 'given': 'Chang Min', 'family': 'Hyun', 'sequence': 'first', 'affiliation': []}",,crossref,1
Challenges to parental involvement in transition planning for children with intellectual disabilities: The perspective of special education teachers in Saudi Arabia,2021-04-01,Developmental and Educational Psychology,,10.1016/j.ridd.2021.103872,"{'given': 'Saeed', 'family': 'Almalki', 'sequence': 'first', 'affiliation': []}",,crossref,9
Social spillovers of China’s left-behind children in the classroom,2021-04-01,Economics and Econometrics,,10.1016/j.labeco.2020.101958,"{'given': 'Haining', 'family': 'Wang', 'sequence': 'first', 'affiliation': []}",,crossref,9
Embedded web system and expression of vascular endothelial growth factor in children with acute leukemia,2021-04-01,Computer Networks and Communications,,10.1016/j.micpro.2021.103907,"{'given': 'Yaping', 'family': 'Liu', 'sequence': 'first', 'affiliation': []}",,crossref,9
Kannan’s fixed point approximation for solving split feasibility and variational inequality problems,2021-04-01,Applied Mathematics,,10.1016/j.cam.2020.113217,"{'given': 'Vasile', 'family': 'Berinde', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Association between adenotonsillar hypertrophy and leptin, ghrelin and IGF-1 levels in children",2021-04-01,Surgery,,10.1016/j.anl.2020.08.002,"{'given': 'Nurşen', 'family': 'Keskin', 'sequence': 'first', 'affiliation': []}",,crossref,2
Factors of the quarantine and their impact in the mental health of children and adolescents,2021-04-01,,,10.1016/j.jadr.2021.100111,"{'given': 'João de Deus Quirino', 'family': 'Filho', 'sequence': 'first', 'affiliation': []}",,crossref,2
The glycosphingolipid GD2 as an effective but enigmatic target of passive immunotherapy in children with aggressive neuroblastoma (HR-NBL),2021-04-01,Cancer Research,,10.1016/j.canlet.2020.11.044,"{'ORCID': 'http://orcid.org/0000-0002-5543-1671', 'authenticated-orcid': False, 'given': 'Ugo', 'family': 'Rovigatti', 'sequence': 'first', 'affiliation': []}",,crossref,9
Breast Imaging Reporting and Data System Classification for Central-Type Intra-Ductal Papillary Masses: Current Problems and Evaluation of Modified Parameters,2021-04-01,Biophysics,,10.1016/j.ultrasmedbio.2020.12.005,"{'given': 'Hui', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}",,crossref,1
Customizing SVM as a base learner with AdaBoost ensemble to learn from multi-class problems: A hybrid approach AdaBoost-MSVM,2021-04-01,Software,,10.1016/j.knosys.2021.106845,"{'ORCID': 'http://orcid.org/0000-0003-4779-5982', 'authenticated-orcid': False, 'given': 'Zafar', 'family': 'Mehmood', 'sequence': 'first', 'affiliation': []}",,crossref,1
A hybridized multi-algorithm strategy for engineering optimization problems,2021-04-01,Software,,10.1016/j.knosys.2021.106790,"{'ORCID': 'http://orcid.org/0000-0002-3282-1810', 'authenticated-orcid': False, 'given': 'Rohit', 'family': 'Salgotra', 'sequence': 'first', 'affiliation': []}",,crossref,1
Brick partition problems in three dimensions,2021-04-01,Theoretical Computer Science,,10.1016/j.disc.2021.112288,"{'ORCID': 'http://orcid.org/0000-0003-1102-7922', 'authenticated-orcid': False, 'given': 'Ilkyoo', 'family': 'Choi', 'sequence': 'first', 'affiliation': []}",,crossref,1
Nonlocal Nonlinear Fractional-Order Boundary Value Problems,2021-04-01,,,10.1142/12102,"{'given': 'Bashir', 'family': 'Ahmad', 'sequence': 'first', 'affiliation': [{'name': 'King Abdulaziz UniversitySaudi Arabia'}]}",,crossref,1
Optimal Impulsive Control Problems Motivated by Mechanical Systems With Vibrations and Blockable DOFs,2021-04-01,,,10.1109/lcsys.2020.3005176,"{'ORCID': 'http://orcid.org/0000-0002-2371-655X', 'authenticated-orcid': False, 'given': 'Elena', 'family': 'Goncharova', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Prevalence of malocclusion among 8–15 years old children, India – A systematic review and meta-analysis",2021-04-01,Otorhinolaryngology,,10.1016/j.jobcr.2021.01.011,"{'given': 'Parvathy', 'family': 'Balachandran', 'sequence': 'first', 'affiliation': []}",,crossref,9
Establishing a learning healthcare system to improve health outcomes for people with epilepsy,2021-04-01,Behavioral Neuroscience,,10.1016/j.yebeh.2021.107805,"{'ORCID': 'http://orcid.org/0000-0002-5217-7794', 'authenticated-orcid': False, 'given': 'Maria A.', 'family': 'Donahue', 'sequence': 'first', 'affiliation': []}",,crossref,1
Linear programming approach to optimal impulse control problems with functional constraints,2021-04-01,Applied Mathematics,,10.1016/j.jmaa.2020.124817,"{'ORCID': 'http://orcid.org/0000-0002-9683-4856', 'authenticated-orcid': False, 'given': 'Alexey', 'family': 'Piunovskiy', 'sequence': 'first', 'affiliation': []}",,crossref,1
The Nighttime Fears Scale: Development and psychometric evidence of a standardized self-report scale to assess nighttime fears in children,2021-04-01,Clinical Psychology,,10.1016/j.janxdis.2021.102369,"{'given': 'Mireia', 'family': 'Orgilés', 'sequence': 'first', 'affiliation': []}",,crossref,2
Reliance on visual feedback from ocular accommodation on motor skills in children with developmental coordination disorder and typically developing controls,2021-04-01,Biophysics,,10.1016/j.humov.2021.102767,"{'given': 'Sara A.', 'family': 'Rafique', 'sequence': 'first', 'affiliation': []}",,crossref,2
Risk Factors for Blindness in Children With Primary Congenital Glaucoma—Follow-up of a Registry Cohort,2021-04-01,Ophthalmology,,10.1016/j.ajo.2020.12.014,"{'given': 'Rayan', 'family': 'Alshigari', 'sequence': 'first', 'affiliation': []}",,crossref,9
GSA for machine learning problems: A comprehensive overview,2021-04-01,Modelling and Simulation,,10.1016/j.apm.2020.11.013,"{'given': 'Omar', 'family': 'Avalos', 'sequence': 'first', 'affiliation': []}",,crossref,1
Two-scale and three-scale asymptotic computations of the Neumann-type eigenvalue problems for hierarchically perforated materials,2021-04-01,Modelling and Simulation,,10.1016/j.apm.2020.11.028,"{'ORCID': 'http://orcid.org/0000-0001-7307-3882', 'authenticated-orcid': False, 'given': 'Qiang', 'family': 'Ma', 'sequence': 'first', 'affiliation': []}",,crossref,1
Perceived social support in children and adolescents with ADHD,2021-04-01,Developmental and Educational Psychology,,10.1016/j.ridd.2021.103863,"{'given': 'Theresa S.', 'family': 'Emser', 'sequence': 'first', 'affiliation': []}",,crossref,2
"A scoping review of parental roles in rehabilitation interventions for children with developmental delay, disability, or long-term health condition",2021-04-01,Developmental and Educational Psychology,,10.1016/j.ridd.2021.103887,"{'ORCID': 'http://orcid.org/0000-0002-8024-3920', 'authenticated-orcid': False, 'given': 'Katherine A.', 'family': 'Smith', 'sequence': 'first', 'affiliation': []}",,crossref,9
"Effects of motion correction, sampling rate and parametric modelling in dynamic contrast enhanced MRI of the temporomandibular joint in children affected with juvenile idiopathic arthritis",2021-04-01,Biophysics,,10.1016/j.mri.2020.12.014,"{'given': 'Lea', 'family': 'Starck', 'sequence': 'first', 'affiliation': []}",,crossref,9
The effect of dual-task conditions on gait and balance performance in children with cerebral palsy: A systematic review and meta-analysis of observational studies,2021-04-01,"Physical Therapy, Sports Therapy and Rehabilitation",,10.1016/j.jbmt.2020.12.011,"{'given': 'Meysam', 'family': 'Roostaei', 'sequence': 'first', 'affiliation': []}",,crossref,9
Taijiquan and qigong as a mindfulness cognitive-behavioural based therapy on the treatment of cothymia in school-age children – A preliminary study,2021-04-01,"Physical Therapy, Sports Therapy and Rehabilitation",,10.1016/j.jbmt.2020.12.024,"{'given': 'Jorge Magalhães', 'family': 'Rodrigues', 'sequence': 'first', 'affiliation': []}",,crossref,9
Facilitating new movement strategies: Equine assisted physiotherapy for children with cerebral palsy,2021-04-01,"Physical Therapy, Sports Therapy and Rehabilitation",,10.1016/j.jbmt.2020.12.022,"{'ORCID': 'http://orcid.org/0000-0003-2236-4094', 'authenticated-orcid': False, 'given': 'Brita Cecilie', 'family': 'Norrud', 'sequence': 'first', 'affiliation': []}",,crossref,9
Sleep health in Indigenous Australian children: a systematic review,2021-04-01,General Medicine,,10.1016/j.sleep.2021.01.065,"{'given': 'S.', 'family': 'Blunden', 'sequence': 'first', 'affiliation': []}",,crossref,9
“Feel the Force”—Prevalence of Subjectively Assessed Saddle Fit Problems in Swiss Riding Horses and Their Association With Saddle Pressure Measurements and Back Pain,2021-04-01,Equine,,10.1016/j.jevs.2021.103388,"{'ORCID': 'http://orcid.org/0000-0002-0470-5580', 'authenticated-orcid': False, 'given': 'Marie T.', 'family': 'Dittmann', 'sequence': 'first', 'affiliation': []}",,crossref,2
[Children with high potential and difficulties: Contributions of clinical research].,2018-10-16,,L'Encephale,S0013-7006(18)30164-7,,"We have been sensitized to children with high intellectual potential (HIP) having difficulties given the number of children consulting in our outpatient medico-psychological centres for scholastic problems (possibly leading to school failure), anxiety disorders or behavioral disorders such as attention deficit/hyperactivity disorder (ADHD), and in which a high intellectual potential was discovered during psychological assessments. It is the contrast, and more precisely the paradox, between the high intellectual potential of these children and their scholastic difficulties (including school failure), and the psychic suffering expressed by some of them, which led us to question, challenge and propose therapeutic and educational care adapted to these children. It is in this context that we created in December 2005 the CNAHP (National Center for Assistance to High Potential children and adolescents) which is a public centre integrated into the hospital-university department of child and adolescent psychiatry at Rennes. It is noteworthy that not all children with HIP have difficulties, and children with school failure or behavioral problems are not always children with HIP. However, it is necessary not to minimize the problem raised by children with HIP with difficulties by ignoring its frequency or by considering that these children are ""intelligent"" enough to manage by themselves and do not need to be helped, whereas some of them can show school failure and even be de-scholarized. Indeed, based on the definition of the World Health Organization (WHO) of an intellectual Quotient (IQ) above 130 (level corresponding to a statistical threshold), the frequency of children with HIP represents 2.3% of the population of schoolchildren aged 6 to 16. The frequency is therefore not so rare. However, it remains to be determined by French epidemiological studies what is the actual frequency of children with difficulties within a population of children with HIP. The analysis of the CNAHP research data from a clinical population (children with HIP consulting for difficulties) highlights that children with HIP can show major school problems (including school failure, defined here as having or foreseeing repetition of a grade), which corresponds to 7.5% of 611 children with HIP consulting at the CNAHP) and socioemotional problems (emotional regulation disorders) in relation to their high intellectual potential. In particular, anxiety disorders were the most frequent psychiatric disorders observed in this population (40.5%) and were significantly associated with high verbal potential. This significant association requires further studies to avoid establishing a simplistic unidirectional and reductive linear cause-effect relationships. Indeed, a high verbal potential can elicit and/or reinforce anxiety-producing representations, but anxiety disorders may also lead to a defensive over investment of verbal language. The results are discussed in this article and suggest that scholastic and/or psychological difficulties encountered by some children with HIP can be related to their high intellectual potential. It is necessary to develop therapeutic and educational care adapted to these children from a better understanding, based on research results, of their possible difficulties but also cognitive abilities. Even when children with HIP have scholastic and/or psychological difficulties, some of their cognitive skills can be preserved contrary to appearances, with for example, as seen in the CNAHP results, excellent attentional capacities shown by cognitive tests contrasting with behavioral attention deficit reported by parents. These skills are important to identify as they are resources which support the therapeutic and educational project. It is probably through an articulation among professionals from national education, health and research, in alliance with the family (parents, child, and siblings), that advances will be made. In the same way that professionals have been interested in children with intellectual disabilities, it is important to be concerned by children with HIP and difficulties located at the other end of the continuum. It is a question of ethics which concerns both caregivers and teachers. It is also a societal issue that concerns all of us given that the expression of high intellectual and creative potential in children may be essential to the societal development of innovative strategies and each nation's future. Finally, the discussion can be extended to all children, independent of their potential. What we learn from children with HIP and difficulties can be applied to each child: it is important at family, school and societal levels to facilitate the expression of the potential of children, to value their skills, and to help them to remove possible inhibitions of their potential based on individualized projects. The acceptance of singularity and differences in children can contribute to tolerance and the development of creativity, in the interest of the subject and of society.",pubmed,2
"Wechsler profiles in referred children with intellectual giftedness: Associations with trait-anxiety, emotional dysregulation, and heterogeneity of Piaget-like reasoning processes.",2015-03-24,,European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,10.1016/j.ejpn.2015.03.006,,"It is common that intellectually gifted children (IQ ≥ 130) are referred to paediatric or child neuropsychiatry clinics for socio-emotional problems and/or school underachievement or maladjustment. Among them, those displaying developmental asynchrony - a heterogeneous developmental pattern reflected in a significant verbal-performance discrepancy (SVPD) on Wechsler's intelligence profile - are thought to be more emotionally and behaviourally impaired than others. Our purpose was to investigate this clinical dichotomy using a cognitive psychopathological approach.",pubmed,2
"Parent, teacher, and self perceptions of psychosocial functioning in intellectually gifted children and adolescents with autism spectrum disorder.",,,Journal of autism and developmental disorders,10.1007/s10803-010-0952-8,,"Parent, teacher, and self-perceptions of 54 high ability students with autism spectrum disorder (ASD) were assessed through administration of the Behavioral Assessment Scales for Children, Second Edition. Parent reports resulted in clinically elevated scores on the Atypicality, Attention Problems, Depression, Hyperactivity, Withdrawal, Activities of Daily Living, Adaptability, and Social Skills subscales, and teacher reports resulted in clinically elevated scores on the Atypicality, Depression, Withdrawal, and Adaptability subscales. Self-report scores were in the average range. Parents and teachers of adolescents reported greater adaptability and fewer symptoms of atypicality than parents and teachers of children. Psychosocial functioning appears impacted in high ability students with ASD and developmental differences in severity may exist.",pubmed,2
"[Self-esteem, self-centeredness and social-emotional adjustment of gifted children and adolescents].",2009-02-07,,L'Encephale,10.1016/j.encep.2008.10.006,,"There is an ongoing debate of how giftedness affects social-emotional adjustment. Self-esteem may be an indicator of social-emotional adjustment but insufficient in its explanatory capacity, especially high self-esteem which tends to produce opposite responses in regards to adjustment. A distinction between defensive and genuine high self-esteem could account for these results. In order to understand how self-esteem operates on social-emotional adjustment, it should be associated with other measurements relating to self-concern. In the Rorschach comprehensive system (CS), egocentricity index measures self-centeredness, which can be defined as the balance between self-concern and concern for others. High self-concern is associated with a neglect of the others. Operationalized here, as the interaction of high self-esteem and excessive self-concern, defensive high self-esteem should predict maladaptive outcomes.",pubmed,2
Sensory sensitivities of gifted children.,,,The American journal of occupational therapy : official publication of the American Occupational Therapy Association,,,Gifted children often display sensitivities to their environment that vary from those of the general population. Data were gathered on 6- to 11-year-old gifted children attending a public elementary school gifted program. Parents completed Dunn's (1999) Sensory Profile questionnaire regarding their child. Two primary analyses were conducted: (1) a comparison of the gifted children's sensory sensitivity with Sensory Profile norms and (2) an examination of the internal consistency of the Sensory Profile for the gifted sample. Gifted children were more sensitive to their environment and reacted with heightened emotional and behavioral responses than did children of average intelligence. Internal consistencies for the 14 Sensory Profile sections and the Sensory Profile factors for the gifted sample were found to be equal to the reported norms of the Sensory Profile. These findings further support that gifted children may have important sensory modulation differences and add to our understanding of gifted children.,pubmed,9
